,LOCATION,PLOT #,REP,BLOCK _by_REP,IBLK,ENTRY,Row,Col,VARIETY,AD ,HT ,YIELD ,TSTWT ,TKWT,SPSM,KPS,KPSM,eps,cdo549,bcd907,barc57           ,barc12           ,tam055tam61,cdo395,barc86           ,ksuA6,cdo638,barc67 ,cmwg680bcd366,bcd1380,bcd1555,bcd141,bcd22,bcd372,bcd361,gwm155           
1,LIN00,5171,1,6,6,1,6,8,CCW3A01,18,91.44,3.01,76.912,32.0647,405.1611,23.2,9399.738,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
105,LIN00,5213,2,1,9,1,9,9,CCW3A01,15,96.52,2.973,76.728,28.819,491.9021,21,10329.944,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
209,LIN00,5349,3,4,20,1,20,12,CCW3A01,12,93.98,3.769,77.28,32.343,482.2051,24.2,11669.364,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
313,LIN00,5457,4,4,28,1,28,8,CCW3A01,16,96.52,3.222,77.28,33.1618,314.8156,30.9,9727.801,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
417,LIN01,5198,1,8,8,1,4,7,CCW3A01,21,104.14,4.682,80.04,32.9651,412.9148,34.4,14204.27,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
521,LIN01,5303,2,1,9,1,5,3,CCW3A01,21,99.06,4.941,80.96,35.4049,491.444,28.4,13957.009,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
625,LIN01,5510,3,1,17,1,9,10,CCW3A01,23,99.06,5.328,80.592,35.2036,540.561,28,15135.709,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
729,LIN01,5721,4,2,26,1,13,21,CCW3A01,22,96.52,4.598,81.144,35.4891,472.8875,27.4,12957.119,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
833,LIN99,5101,1,1,1,1,1,1,CCW3A01,26,119.38,2.917,76.176,38,310.3648,24.76,7683.701,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
937,LIN99,5362,2,1,2,1,7,10,CCW3A01,29,116.84,1.378,75.808,37.9711,116.7898,31.1,3632.164,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
1041,LIN99,5516,3,1,3,1,9,16,CCW3A01,-,111.76,1.65,75.256,36.538,200.2683,22.57,4520.342,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
1145,LIN99,5794,4,1,4,1,16,11,CCW3A01,-,114.3,1.559,74.888,39.9223,189.7882,20.6,3909.637,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
1249,MD00,5119,1,2,2,1,1,19,CCW3A01,18,127,3.847,75.532,32.8325,595.4836,19.7,11731.026,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
1353,MD00,5212,2,1,9,1,5,8,CCW3A01,17,132.08,4.105,78.476,33.0635,493.3513,25.2,12432.452,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
1457,MD00,5316,3,1,17,1,9,8,CCW3A01,17,132.08,4.176,78.108,31.9851,487.7792,26.8,13072.482,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
1561,MD00,5420,4,1,25,1,13,8,CCW3A01,17,132.08,3.413,77.464,33.0552,356.5255,29,10339.239,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
1665,MD01,5154,1,5,5,1,3,2,CCW3A01,31,109.22,5.335,79.856,34.9746,552.6818,27.6,15254.018,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
1769,MD01,5373,2,6,14,1,7,21,CCW3A01,30,109.22,4.894,79.488,33.1203,555.5477,26.6,14777.57,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
1873,MD01,5572,3,6,22,1,11,20,CCW3A01,34,114.3,5.348,80.04,33.2375,502.867,32,16091.743,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
1977,MD01,5789,4,7,31,1,16,16,CCW3A01,27,106.68,5.042,79.672,35,556.2476,25.9,14406.812,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
2081,SD00,5185,1,7,7,1,4,20,CCW3A01,31,109.22,4.062,79.12,27.0316,791.8366,19,15044.896,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
2185,SD00,5265,2,5,13,1,7,9,CCW3A01,31,109.22,4.75,79.304,29.1207,704.0347,23.2,16333.605,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
2289,SD00,5401,3,8,24,1,12,12,CCW3A01,31,106.68,3.813,78.016,26.9833,592.0219,23.9,14149.324,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
2393,SD00,5449,4,3,27,1,14,16,CCW3A01,29,88.9,2.812,76.176,26.9617,400.1034,26.1,10442.698,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
2497,SD01,5188,1,7,7,1,3,28,CCW3A01,47,99.06,2.583,72.496,22.1563,331.2505,35.2,11660.019,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
2601,SD01,5362,2,5,13,1,6,15,CCW3A01,43,101.6,2.005,70.288,23.1923,302.253,28.6,8644.435,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
2705,SD01,5527,3,3,19,1,8,6,CCW3A01,45,91.44,1.709,69,21.7305,307.1772,25.6,7863.736,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
2809,SD01,5792,4,8,32,1,14,17,CCW3A01,46,81.28,2.069,73.232,26.0875,231.1977,34.3,7930.08,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
2,LIN00,5148,1,4,4,2,4,5,CCW3A02,11,96.52,3.511,76.728,33.1574,490.8133,21.6,10601.566,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
106,LIN00,5245,2,4,12,2,12,12,CCW3A02,12,101.6,3.239,76.912,31.2137,443.9669,23.4,10388.825,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
210,LIN00,5385,3,6,22,2,22,2,CCW3A02,11,104.14,3.847,76.36,28.3237,656.9312,20.7,13598.476,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
314,LIN00,5416,4,1,25,2,25,4,CCW3A02,15,96.52,3.349,77.28,32.6183,426.6303,24.1,10281.79,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
418,LIN01,5116,1,2,2,2,1,16,CCW3A02,19,101.6,4.417,79.856,33.383,402.1407,32.9,13230.43,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
522,LIN01,5374,2,6,14,2,7,22,CCW3A02,19,109.22,4.39,79.856,35.2267,415.3862,30,12461.585,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
626,LIN01,5582,3,7,23,2,12,23,CCW3A02,19,96.52,4.443,80.408,35.255,417.3591,30.2,12604.244,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
730,LIN01,5773,4,6,30,2,15,21,CCW3A02,19,96.52,4.686,80.408,36.356,417.1104,30.9,12888.711,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
834,LIN99,5102,1,1,1,2,1,2,CCW3A02,27,111.76,2.634,75.992,38,284.8162,24.37,6940.117,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
938,LIN99,5369,2,1,2,2,7,17,CCW3A02,31,114.3,2.597,75.808,38.3686,287.1609,23.6,6776.998,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
1042,LIN99,5509,3,1,3,2,9,9,CCW3A02,-,111.76,1.697,75.256,35.7738,188.4343,25.2,4748.544,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
1146,LIN99,5731,4,1,4,2,14,22,CCW3A02,-,114.3,2.308,75.7344,38.6379,246.1341,24.3,5981.058,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
1250,MD00,5151,1,4,4,2,2,2,CCW3A02,16,132.08,4.579,78.108,37.1434,442.4301,27.9,12343.8,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
1354,MD00,5233,2,3,11,2,6,24,CCW3A02,16,132.08,3.635,77.74,35.1545,470.6059,22,10353.331,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
1458,MD00,5366,3,5,21,2,11,6,CCW3A02,18,124.46,2.906,76.912,28.0319,331.6292,31.3,10379.994,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
1562,MD00,5442,4,3,27,2,14,23,CCW3A02,14,121.92,3.853,77.096,33.4715,438.2955,26.3,11527.172,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
1666,MD01,5142,1,4,4,2,2,11,CCW3A02,22,99.06,4.615,78.568,34.0156,422.674,32.1,13567.836,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
1770,MD01,5390,2,7,15,2,8,15,CCW3A02,22,106.68,5.096,79.488,35.8626,542.3803,26.2,14210.365,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
1874,MD01,5596,3,8,24,2,12,9,CCW3A02,22,101.6,4.733,79.12,37.3093,435.9318,29.1,12685.616,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
1978,MD01,5775,4,6,30,2,15,23,CCW3A02,22,104.14,4.575,79.488,37.4291,412.9264,29.6,12222.622,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
2082,SD00,5204,1,8,8,2,4,1,CCW3A02,29,104.14,4.512,78.2,31.5369,587.086,24.4,14324.897,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
2186,SD00,5241,2,3,11,2,6,16,CCW3A02,30,111.76,4.723,79.672,30.9461,749.176,20.4,15283.19,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
2290,SD00,5383,3,6,22,2,11,23,CCW3A02,29,93.98,3.726,78.568,31.6041,481.7887,24.5,11803.823,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
2394,SD00,5413,4,1,25,2,13,1,CCW3A02,29,104.14,4.727,77.648,30.933,683.0584,22.4,15300.508,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
2498,SD01,5161,1,5,5,2,3,1,CCW3A02,43,88.9,1.82,71.944,24.491,223.8142,33.2,7430.631,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
2602,SD01,5306,2,1,9,2,4,11,CCW3A02,46,88.9,2.143,72.68,23.2232,267.444,34.5,9226.817,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
2706,SD01,5551,3,4,20,2,9,19,CCW3A02,43,91.44,2.61,75.256,29.6353,250.9454,35.1,8808.182,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
2810,SD01,5719,4,2,26,2,12,30,CCW3A02,43,99.06,2.657,74.888,28.6399,276.1537,33.6,9278.765,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
3,LIN00,5107,1,1,1,3,1,7,CCW3A03,12,93.98,3.407,76.636,27.2769,641.272,19.5,12504.804,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
107,LIN00,5249,2,4,12,3,12,8,CCW3A03,10,101.6,3.306,76.912,35.2478,415.5173,22.6,9390.691,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
211,LIN00,5400,3,8,24,3,24,13,CCW3A03,10,93.98,3.407,76.176,35.5251,370.7125,25.9,9601.454,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
315,LIN00,5469,4,5,29,3,29,5,CCW3A03,10,96.52,4.028,77.28,33.9513,525.6399,22.6,11879.461,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
419,LIN01,5142,1,4,4,3,2,11,CCW3A03,18,99.06,5.019,80.776,35.4839,456.258,31,14143.996,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
523,LIN01,5326,2,2,10,3,5,26,CCW3A03,19,93.98,4.756,80.776,34.5732,419.4408,32.8,13757.658,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
627,LIN01,5524,3,2,18,3,9,24,CCW3A03,18,93.98,4.803,80.776,37.7381,432.9475,29.4,12728.656,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
731,LIN01,5710,4,1,25,3,13,10,CCW3A03,19,86.36,4.803,80.04,33.004,584.516,24.9,14554.448,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
835,LIN99,5103,1,1,1,3,1,3,CCW3A03,25,116.84,1.855,75.072,36,214.9115,24,5157.876,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
939,LIN99,5324,2,1,2,3,5,24,CCW3A03,27,111.76,2.769,74.336,35.5055,288.0688,27.1,7806.663,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
1043,LIN99,5550,3,1,3,3,10,3,CCW3A03,-,111.76,1.626,73.232,36.2329,205.1789,21.9,4493.418,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
1147,LIN99,5707,4,1,4,3,13,7,CCW3A03,-,114.3,1.663,74.888,36.4565,198.5804,23,4567.35,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
1251,MD00,5174,1,6,6,3,3,22,CCW3A03,16,127,3.642,73.968,35.2247,456.0273,22.7,10351.819,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
1355,MD00,5304,2,8,16,3,8,5,CCW3A03,16,132.08,3.766,76.544,37.9882,389.2697,25.5,9926.378,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
1459,MD00,5386,3,6,22,3,11,26,CCW3A03,17,114.3,2.866,77.096,32.2104,288.2898,30.9,8908.156,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
1563,MD00,5423,4,1,25,3,13,11,CCW3A03,16,119.38,3.507,74.336,34.8791,368.8133,27.3,10068.604,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
1667,MD01,5125,1,2,2,3,1,25,CCW3A03,21,86.36,3.959,78.384,36.1282,401.4225,27.3,10958.835,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
1771,MD01,5399,2,8,16,3,8,6,CCW3A03,26,106.68,4.386,78.936,33.2632,385.5869,34.2,13187.073,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
1875,MD01,5502,3,1,17,3,9,2,CCW3A03,25,104.14,4.972,78.384,34.5146,421.1914,34.2,14404.747,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
1979,MD01,5752,4,4,28,3,14,1,CCW3A03,23,101.6,4.766,79.672,36.2712,309.9389,42.4,13141.409,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
2083,SD00,5174,1,6,6,3,3,22,CCW3A03,29,106.68,4.515,78.752,32.4224,601.0357,23.2,13944.028,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
2187,SD00,5300,2,8,16,3,8,9,CCW3A03,29,106.68,4.73,78.384,31.2775,792.8148,19.1,15142.763,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
2291,SD00,5336,3,3,19,3,10,25,CCW3A03,29,99.06,3.514,77.832,29.3333,444.2637,27,11995.119,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
2395,SD00,5419,4,1,25,3,13,7,CCW3A03,29,101.6,4.3,77.28,29.7664,592.8274,24.4,14464.987,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
2499,SD01,5176,1,6,6,3,3,16,CCW3A03,42,91.44,2.509,75.44,30.3497,225.9109,36.6,8268.34,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
2603,SD01,5404,2,8,16,3,7,28,CCW3A03,42,93.98,2.752,75.992,30.23,213.6679,42.6,9102.251,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
2707,SD01,5554,3,5,21,3,9,22,CCW3A03,42,91.44,3.024,74.704,29.3895,299.1182,34.4,10289.666,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
2811,SD01,5767,4,6,30,3,13,19,CCW3A03,42,88.9,2.038,74.52,29.8683,204.3386,33.4,6824.91,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1
4,LIN00,5160,1,5,5,4,5,8,CCW3A04,11,93.98,2.798,77.648,31.9741,454.071,19.3,8763.57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,LIN00,5208,2,1,9,4,9,4,CCW3A04,11,96.52,2.946,77.28,33.7955,396.7829,22,8729.223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
212,LIN00,5368,3,5,21,4,21,8,CCW3A04,11,96.52,3.138,77.28,30.352,528.1256,19.6,10351.262,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
316,LIN00,5419,4,1,25,4,25,7,CCW3A04,11,96.52,3.346,76.36,31.1455,488.9633,22,10757.193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
420,LIN01,5156,1,5,5,4,3,4,CCW3A04,18,93.98,4.719,80.776,35.0349,427.6419,31.5,13470.721,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
524,LIN01,5355,2,5,13,4,7,3,CCW3A04,19,81.28,4.457,80.04,36.7133,404.6738,30,12140.215,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
628,LIN01,5562,3,5,21,4,11,10,CCW3A04,19,91.44,5.227,80.408,34.8754,444.7711,33.7,14988.787,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
732,LIN01,5735,4,3,27,4,14,18,CCW3A04,18,88.9,4.322,80.96,31.9646,434.8178,31.1,13522.835,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
836,LIN99,5104,1,1,1,4,1,4,CCW3A04,26,114.3,1.764,75.808,35,193.8212,26.03,5045.748,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
940,LIN99,5301,2,1,2,4,5,1,CCW3A04,26,116.84,2.957,75.992,36.8655,291.9878,27.5,8029.664,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1044,LIN99,5548,3,1,3,4,10,5,CCW3A04,-,109.22,2.389,75.44,34.0105,246.7435,28.5,7032.189,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1148,LIN99,5802,4,1,4,4,16,3,CCW3A04,-,111.76,2.446,73.968,33.8959,326.9083,22.1,7224.672,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1252,MD00,5138,1,3,3,4,2,15,CCW3A04,15,124.46,3.753,74.704,32.0473,792.1991,14.8,11724.547,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1356,MD00,5239,2,3,11,4,6,18,CCW3A04,15,129.54,3.83,75.808,34.794,473.0194,23.3,11021.353,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1460,MD00,5410,3,8,24,4,12,3,CCW3A04,17,119.38,3.4,76.636,33.9003,333.6141,30.1,10041.784,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1564,MD00,5516,4,8,32,4,16,1,CCW3A04,16,96.52,4.085,80.408,37.3968,347.2343,31.5,10937.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1668,MD01,5103,1,1,1,4,1,3,CCW3A04,21,93.98,5.17,79.488,35.9769,552.7272,26,14370.906,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1772,MD01,5308,2,1,9,4,5,8,CCW3A04,22,93.98,4.723,79.12,35.6537,515.4229,25.7,13246.369,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1876,MD01,5536,3,3,19,4,10,17,CCW3A04,26,101.6,4.363,79.856,36.7924,346.7289,34.2,11858.13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1980,MD01,5764,4,5,29,4,15,12,CCW3A04,21,96.52,4.447,78.752,36.7803,457.98,26.4,12090.673,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2084,SD00,5172,1,6,6,4,3,20,CCW3A04,29,101.6,3.779,79.672,30.8844,544.5835,22.5,12253.13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2188,SD00,5251,2,4,12,4,6,6,CCW3A04,28,104.14,4.226,79.304,33.1693,675.0201,18.9,12757.879,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2292,SD00,5384,3,6,22,4,11,24,CCW3A04,29,83.82,3.296,78.2,32.2051,437.8874,23.4,10246.565,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2396,SD00,5506,4,8,32,4,16,11,CCW3A04,29,96.52,3.595,77.648,25.6652,609.7409,23,14024.04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2500,SD01,5103,1,1,1,4,1,3,CCW3A04,42,91.44,1.554,72.312,24.4963,236.7236,26.8,6344.192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2604,SD01,5318,2,2,10,4,5,2,CCW3A04,42,86.36,1.517,69.736,33.0792,227.041,20.2,4586.229,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2708,SD01,5572,3,6,22,4,10,21,CCW3A04,42,88.9,2.482,75.808,30.2676,241.231,34,8201.854,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2812,SD01,5779,4,7,31,4,14,30,CCW3A04,42,96.52,2.913,78.016,32.9282,254.2175,34.8,8846.77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,LIN00,5152,1,4,4,5,4,1,CCW3A05,11,99.06,2.762,77.096,36.7706,344.9439,21.8,7519.776,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
109,LIN00,5280,2,6,14,5,14,3,CCW3A05,11,99.06,2.966,77.648,33.564,419.4103,21.1,8849.557,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
213,LIN00,5339,3,3,19,5,19,5,CCW3A05,11,96.52,3.161,77.832,33.463,437.9311,21.6,9459.312,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
317,LIN00,5496,4,7,31,5,31,6,CCW3A05,11,96.52,3.097,77.832,27.8538,440.1097,25.3,11134.776,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
421,LIN01,5101,1,1,1,5,1,1,CCW3A05,18,93.98,4.511,79.304,37,394.5508,30.9,12191.618,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
525,LIN01,5386,2,7,15,5,8,19,CCW3A05,19,99.06,4.665,79.488,34.7249,499.4792,26.9,13435.99,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
629,LIN01,5573,3,6,22,5,11,21,CCW3A05,19,93.98,4.817,79.672,34.5975,437.8302,31.8,13922.999,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
733,LIN01,5785,4,7,31,5,16,20,CCW3A05,19,99.06,4.491,80.776,37.0876,441.9126,27.4,12108.405,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
837,LIN99,5105,1,1,1,5,1,5,CCW3A05,27,121.92,1.485,74.704,33.6494,176.0376,25.1,4418.544,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
941,LIN99,5383,2,1,2,5,8,22,CCW3A05,27,111.76,2.785,74.704,34.4839,326.0777,24.8,8086.728,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1045,LIN99,5597,3,1,3,5,12,8,CCW3A05,-,111.76,0.948,74.704,35.2954,113.4012,23.7,2687.607,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1149,LIN99,5761,4,1,4,5,15,9,CCW3A05,-,111.76,1.206,73.6,39.125,110.2342,28,3086.558,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1253,MD00,5149,1,4,4,5,2,4,CCW3A05,16,132.08,4.159,78.568,35.9733,619.0611,18.7,11576.443,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1357,MD00,5281,2,6,14,5,7,25,CCW3A05,15,124.46,3.924,76.544,39.1213,420.2092,23.9,10042.999,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1461,MD00,5311,3,1,17,5,9,3,CCW3A05,16,129.54,3.282,77.28,33.9103,321.9814,30.1,9691.64,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1565,MD00,5457,4,4,28,5,14,8,CCW3A05,16,116.84,2.436,75.44,35.4412,289.1261,23.8,6881.2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1669,MD01,5134,1,3,3,5,2,19,CCW3A05,22,99.06,4.168,78.752,38.4426,355.4617,30.5,10841.581,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1773,MD01,5324,2,2,10,5,5,24,CCW3A05,22,93.98,3.909,78.568,36.8454,364.5563,29.1,10608.589,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1877,MD01,5515,3,2,18,5,9,15,CCW3A05,27,109.22,4.827,78.2,36.0879,405.332,33,13375.957,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
